Date,Close,Volume,Open,High,Low
03/27/2020, 25.29, 22069280, 25.56, 25.83, 24.76
03/26/2020, 26.41, 20453340, 26.15, 27.03, 25.625
03/25/2020, 25.97, 25738820, 25.85, 27.46, 24.52
03/24/2020, 25.85, 32815920, 25.79, 26.46, 24.13
03/23/2020, 24.69, 21882580, 23.8, 25.25, 23.5
03/20/2020, 23.95, 28250720, 24.97, 25.8638, 23.7
03/19/2020, 24.13, 29979330, 22.11, 25.17, 20.6558
03/18/2020, 22, 31012720, 22.95, 23.49, 20
03/17/2020, 24.48, 28741660, 24.38, 25.84, 23.18
03/16/2020, 24.04, 28768060, 26.12, 28.35, 23.92
03/13/2020, 29.29, 29059110, 28.83, 29.41, 26.4001
03/12/2020, 26.78, 32519480, 29.08, 29.69, 26.7
03/11/2020, 31.3, 27478300, 33.3, 33.4553, 30.01
03/10/2020, 34.31, 27327630, 33.9, 34.78, 33.12
03/09/2020, 32.46, 41767570, 31.81, 35.36, 30.62
03/06/2020, 33.46, 20361060, 33.81, 33.99, 32.51
03/05/2020, 34.97, 14132160, 35.03, 35.73, 34.52
03/04/2020, 36, 14980310, 35.76, 36, 34.77
03/03/2020, 34.93, 22973060, 36.02, 36.48, 34.41
03/02/2020, 35.82, 39914750, 36, 36.86, 35.14
02/28/2020, 33.2, 33688910, 31.86, 33.37, 31.51
02/27/2020, 33.01, 27234090, 33.73, 34.2, 32.47
02/26/2020, 34.63, 18066350, 35.28, 35.82, 34.435
02/25/2020, 35.21, 19841300, 36.18, 36.45, 34.885
02/24/2020, 35.89, 25155380, 36.5, 36.59, 35.3
02/21/2020, 38.31, 15326740, 38.67, 38.76, 38.04
02/20/2020, 39.05, 17273370, 38.76, 39.06, 37.955
02/19/2020, 38.77, 19068570, 38.09, 38.91, 37.935
02/18/2020, 38.06, 16821350, 36.78, 38.07, 36.68
02/14/2020, 36.91, 12210390, 37, 37.35, 36.58
02/13/2020, 37.16, 19621430, 36.43, 37.32, 36.21
02/12/2020, 36.79, 20716440, 36.19, 37.02, 36.17
02/11/2020, 35.65, 14464740, 36.12, 36.28, 35.535
02/10/2020, 35.96, 34860320, 36.63, 36.85, 35.65
02/07/2020, 37.03, 31135080, 37.63, 38.15, 36.84
02/06/2020, 38.41, 87659730, 36.53, 39.64, 36.42
02/05/2020, 33.39, 20468190, 34, 34.16, 33.19
02/04/2020, 33.96, 14598180, 33.75, 34.115, 33.4
02/03/2020, 33.07, 14196190, 32.56, 33.24, 32.45
01/31/2020, 32.48, 12033050, 33.11, 33.14, 32.08
01/30/2020, 33.22, 12083790, 32.86, 33.23, 32.39
01/29/2020, 33.63, 7582161, 33.59, 33.88, 33.2927
01/28/2020, 33.42, 9739386, 33.06, 33.66, 32.85
01/27/2020, 32.78, 11800760, 32.31, 32.93, 32.15
01/24/2020, 33.19, 12336570, 34.11, 34.11, 32.97
01/23/2020, 33.89, 14887190, 33.99, 34.36, 33.72
01/22/2020, 34.02, 12851780, 34.29, 34.54, 33.955
01/21/2020, 34.09, 17055610, 34.08, 34.385, 33.87
01/17/2020, 34.22, 19303540, 33.82, 34.39, 33.58
01/16/2020, 34.19, 19919940, 33.5, 34.27, 33.03
01/15/2020, 33.23, 11262330, 32.99, 33.51, 32.95
01/14/2020, 32.82, 9816501, 32.69, 33.12, 32.64
01/13/2020, 32.69, 11008260, 32.97, 33.07, 32.49
01/10/2020, 32.78, 11156040, 32.86, 33.01, 32.46
01/09/2020, 33.22, 10892340, 33.53, 33.54, 33
01/08/2020, 33.05, 14637340, 32.35, 33.4, 32.35
01/07/2020, 32.54, 13998270, 31.8, 32.695, 31.72
01/06/2020, 31.64, 12585830, 31.23, 31.71, 31.16
01/03/2020, 31.52, 14440380, 31.71, 32.1, 31.26
01/02/2020, 32.3, 10694420, 32.31, 32.5, 31.96
12/31/2019, 32.05, 11055160, 31.86, 32.32, 31.77
12/30/2019, 32.03, 9402711, 32.49, 32.5029, 31.82
12/27/2019, 32.55, 10412930, 32.75, 32.84, 32.22
12/26/2019, 32.63, 9807822, 32.59, 32.89, 32.4211
12/24/2019, 32.5, 4290460, 32.44, 32.71, 32.42
12/23/2019, 32.43, 13991870, 32.13, 32.8, 31.99
12/20/2019, 32.13, 21859650, 32.12, 32.25, 31.54
12/19/2019, 32.03, 19906720, 31.75, 32.42, 31.61
12/18/2019, 31.68, 19051480, 30.69, 31.91, 30.6315
12/17/2019, 30.7, 11911260, 31.07, 31.21, 30.63
12/16/2019, 30.97, 15862110, 30.52, 31.28, 30.41
12/13/2019, 30.39, 12844530, 30.24, 30.61, 30.24
12/12/2019, 30.3, 18921530, 30.47, 30.59, 29.93
12/11/2019, 30.55, 11013910, 29.95, 30.6, 29.86
12/10/2019, 29.84, 12375760, 30.23, 30.26, 29.77
12/09/2019, 30.21, 10062270, 30.12, 30.75, 30.12
12/06/2019, 30.19, 10877460, 30.35, 30.47, 29.98
12/05/2019, 30.04, 11069840, 30.08, 30.36, 29.92
12/04/2019, 30, 9778965, 30.18, 30.33, 29.91
12/03/2019, 29.97, 16559340, 29.94, 30.01, 29.48
12/02/2019, 30.42, 14550080, 30.91, 30.95, 29.97
11/29/2019, 30.91, 7814538, 31.11, 31.14, 30.78
11/27/2019, 31.17, 14190190, 31, 31.36, 30.93
11/26/2019, 30.96, 16356420, 30.57, 30.99, 30.4
11/25/2019, 30.54, 14050930, 30.13, 30.57, 30.05
11/22/2019, 30.03, 14188280, 29.87, 30.1657, 29.575
11/21/2019, 29.79, 24304440, 29.2, 30.49, 29.15
11/20/2019, 29.17, 14289030, 29.3, 29.48, 28.88
11/19/2019, 29.44, 9962480, 29.62, 29.67, 29.18
11/18/2019, 29.49, 14537560, 29.24, 29.735, 29.01
11/15/2019, 29.25, 12170600, 29.05, 29.43, 28.91
11/14/2019, 28.89, 13714690, 29.16, 29.37, 28.73
11/13/2019, 29.08, 9316396, 29.04, 29.3, 28.93
11/12/2019, 29.05, 15144150, 29.36, 29.5, 28.93
11/11/2019, 29.34, 9693171, 29.13, 29.35, 28.92
11/08/2019, 29.21, 10624450, 29.16, 29.43, 29.05
11/07/2019, 29.05, 22740600, 29, 29.59, 28.63
11/06/2019, 29.54, 15313790, 29.85, 29.9, 29.4
11/05/2019, 29.81, 16645850, 30.19, 30.36, 29.71
11/04/2019, 30.05, 20340170, 29.77, 30.15, 29.61
11/01/2019, 29.62, 22716680, 29.96, 30.26, 29.41
10/31/2019, 29.97, 36865130, 29.47, 29.98, 28.84
10/30/2019, 29.86, 25518730, 30.15, 30.17, 29.72
10/29/2019, 29.85, 20674780, 30, 30.36, 29.82
10/28/2019, 30.06, 29893920, 30.5, 30.66, 29.75
10/25/2019, 30.3, 43837200, 30.87, 31.04, 29.92
10/24/2019, 30.75, 106271100, 31.86, 32.39, 30.51
10/23/2019, 38.83, 20530730, 38.99, 39.4499, 37.76
10/22/2019, 38.81, 13082860, 40.48, 40.48, 38.78
10/21/2019, 40.09, 9570554, 39.35, 40.29, 39.31
10/18/2019, 38.99, 12593950, 39.69, 39.91, 38.27
10/17/2019, 39.61, 7194894, 40.12, 40.1495, 39.41
10/16/2019, 39.91, 8413587, 40.01, 40.46, 39.595
10/15/2019, 40.28, 7751263, 39.56, 40.4, 39.35
10/14/2019, 39.78, 6460851, 40.32, 40.47, 39.47
10/11/2019, 40.36, 9283524, 39.89, 40.7, 39.805
10/10/2019, 39.54, 6831719, 39.34, 39.89, 39.26
10/09/2019, 39.5, 8077170, 39.99, 40.1, 39.22
10/08/2019, 39.7, 8003323, 40.412, 40.48, 39.67
10/07/2019, 40.8, 6614109, 40.24, 40.87, 40.06
10/04/2019, 40.36, 6321528, 40.36, 40.59, 39.83
10/03/2019, 40, 13662710, 39.59, 40.16, 38.61
10/02/2019, 39.7, 10182490, 40.12, 40.12, 39.25
10/01/2019, 40.25, 9471078, 41.32, 41.5654, 40.0304
09/30/2019, 41.2, 8116140, 41.46, 41.48, 40.815
09/27/2019, 41.35, 11941100, 42.5, 42.67, 40.61
09/26/2019, 42.44, 5996251, 42.38, 42.49, 41.72
09/25/2019, 42.5, 9829286, 41.51, 42.78, 41.18
09/24/2019, 41.42, 16367770, 43.71, 43.75, 41.06
09/23/2019, 43.38, 10022210, 43.29, 44.09, 42.85
09/20/2019, 43.23, 19430880, 43.16, 43.84, 42.94
09/19/2019, 42.93, 7420515, 43.19, 43.58, 42.68
09/18/2019, 43.24, 7866682, 43.21, 43.41, 42.39
09/17/2019, 43.24, 8702119, 42.9, 43.59, 42.88
09/16/2019, 42.76, 6187891, 42.4, 43.07, 42.19
09/13/2019, 42.63, 8059593, 43.15, 43.2, 42.33
09/12/2019, 43.2, 8251661, 43.76, 44.11, 43.11
09/11/2019, 43.25, 7861181, 43.55, 43.78, 43.05
09/10/2019, 43.25, 14040140, 43.9, 43.95, 42.51
09/09/2019, 44.26, 14547400, 45.6, 45.855, 43.84
09/06/2019, 45.42, 13108530, 45.22, 45.68, 44.56
09/05/2019, 45.3, 19355980, 43.78, 45.33, 43.62
09/04/2019, 43.36, 11590140, 42.49, 43.4, 42.11
09/03/2019, 41.96, 16176350, 42.38, 43.77, 41.64
08/30/2019, 42.65, 8866979, 42.7, 42.7, 41.9
08/29/2019, 42.49, 10605570, 42.25, 42.6531, 41.82
08/28/2019, 41.68, 10430500, 41.75, 42.195, 41.3
08/27/2019, 42.14, 16104780, 42.01, 42.69, 41.53
08/26/2019, 41.44, 6404899, 41.4, 41.48, 41
08/23/2019, 41, 14070410, 41.82, 42.69, 40.81
08/22/2019, 42.18, 8283589, 42.85, 43.08, 41.59
08/21/2019, 42.8, 12025060, 42.83, 43.28, 42.36
08/20/2019, 42.29, 11356680, 41.64, 42.85, 41.38
08/19/2019, 41.7, 10276540, 41.1, 41.88, 41.05
08/16/2019, 40.58, 7998824, 40.3, 40.65, 40.11
08/15/2019, 40.09, 12583110, 40.9, 41.05, 39.775
08/14/2019, 40.65, 11638680, 41.03, 41.2499, 40.39
08/13/2019, 41.81, 12567830, 40.41, 41.857, 40.38
08/12/2019, 40.48, 6934621, 41.1, 41.48, 40.3941
08/09/2019, 41.53, 11419630, 41.78, 41.97, 40.94
08/08/2019, 42.07, 14684640, 42.11, 42.35, 41.36
08/07/2019, 41.73, 15427590, 40.51, 41.9, 40.33
08/06/2019, 41.32, 15077880, 40.92, 41.64, 40.78
08/05/2019, 40.37, 23081000, 41.58, 42, 39.615
08/02/2019, 42.85, 20617170, 41.82, 43.04, 41.59
08/01/2019, 42.08, 22883640, 42.54, 43.48, 41.7236
07/31/2019, 42.31, 29745350, 41.08, 43.24, 41.01
07/30/2019, 41, 15670560, 41.08, 41.72, 40.82
07/29/2019, 41.5, 21170550, 41.5, 42.22, 40.9
07/26/2019, 41.52, 57527560, 40.07, 42.33, 40
07/25/2019, 38.12, 21255430, 39, 39.23, 37.91
07/24/2019, 38.73, 12488470, 38, 38.8, 37.76
07/23/2019, 37.9, 10741460, 37.87, 38.02, 36.82
07/22/2019, 37.58, 8415150, 36.92, 37.69, 36.83
07/19/2019, 36.77, 10842400, 37.96, 38.09, 36.73
07/18/2019, 37.66, 11125890, 37.39, 37.795, 37
07/17/2019, 37.7, 7926602, 37.86, 38.23, 37.56
07/16/2019, 37.99, 10979580, 38.78, 38.79, 37.82
07/15/2019, 38.68, 12738670, 38, 38.97, 37.9435
07/12/2019, 37.84, 8048674, 37.37, 37.9, 37.17
07/11/2019, 37.21, 8549479, 37.66, 37.87, 36.97
07/10/2019, 37.47, 11831810, 37.9, 38.03, 36.88
07/09/2019, 37.65, 14217970, 36.35, 37.67, 36.29
07/08/2019, 36.45, 8058474, 36.04, 36.64, 35.87
07/05/2019, 36.25, 6084815, 36, 36.35, 35.6
07/03/2019, 36.02, 5372634, 36.29, 36.39, 35.94
07/02/2019, 36.22, 8398931, 36.17, 36.6, 35.885
07/01/2019, 36.08, 14416770, 35.5, 36.25, 35.224
06/28/2019, 34.9, 15505290, 34.75, 34.99, 34.28
06/27/2019, 34.75, 12655890, 35.44, 35.64, 34.61
06/26/2019, 35.22, 8744768, 34.98, 35.38, 34.92
06/25/2019, 34.72, 11196390, 35.52, 35.73, 34.57
06/24/2019, 35.58, 9216830, 35.19, 35.67, 34.82
06/21/2019, 35.02, 12853620, 35.5, 35.75, 34.99
06/20/2019, 35.44, 19676060, 36.35, 36.65, 35.33
06/19/2019, 36.29, 12059710, 36.63, 36.68, 35.81
06/18/2019, 36.65, 12705490, 36.71, 37.51, 36.55
06/17/2019, 36.44, 7895968, 36.26, 36.68, 36.11
06/14/2019, 36.15, 7791057, 36.36, 36.49, 36.04
06/13/2019, 36.34, 21679420, 37.04, 37.04, 35.76
